,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,985,69,339,37,96.12854,COMMERCIAL
5,5,1,1,1,1,2,1343,69,200,37,95.326141,INVOICE
7,5,1,1,1,2,1,982,140,97,36,92.45517,TRN
8,5,1,1,1,2,2,1102,150,7,26,91.993622,:
9,5,1,1,1,2,3,1132,140,414,37,90.288177,100484921000003
13,5,1,2,1,1,1,117,198,1044,3,95.0, 
17,5,1,3,1,1,1,1390,197,1043,5,95.0, 
21,5,1,4,1,1,1,1390,271,1043,5,95.0, 
25,5,1,5,1,1,1,1390,343,1043,5,95.0, 
29,5,1,6,1,1,1,1390,416,1043,5,95.0, 
33,5,1,7,1,1,1,1159,199,1,307,95.0, 
37,5,1,8,1,1,1,1390,199,1,307,95.0, 
41,5,1,9,1,1,1,117,504,1044,3,95.0, 
45,5,1,10,1,1,1,1390,503,1043,5,95.0, 
49,5,1,11,1,1,1,117,540,2316,7,95.0, 
53,5,1,12,1,1,1,117,846,2316,7,95.0, 
57,5,1,13,1,1,1,117,884,2316,7,95.0, 
61,5,1,14,1,1,1,133,220,193,31,90.95356,DIGITECH
62,5,1,14,1,1,2,344,220,108,31,57.376213,FZCO
63,5,1,14,1,1,3,468,221,53,30,57.376213,-R
64,5,1,14,1,1,4,1407,219,126,31,96.601074,Invoice
65,5,1,14,1,1,5,1549,219,58,31,96.518654,No.
66,5,1,14,1,1,6,1834,227,4,22,68.342567,:
67,5,1,14,1,1,7,1867,220,355,31,79.118477,PCAP/CI/22-23/161
69,5,1,14,1,2,1,1407,292,126,31,96.573364,Invoice
70,5,1,14,1,2,2,1549,292,83,31,96.339729,Date
71,5,1,14,1,2,3,1834,300,4,22,54.794121,:
72,5,1,14,1,2,4,1868,294,166,30,87.645531,1-Mar-23
74,5,1,14,1,3,1,131,337,66,47,96.245575,Tel.
75,5,1,14,1,3,2,1834,373,4,5,26.499855,;
77,5,1,14,1,4,1,1406,365,166,39,96.690193,Currency
78,5,1,14,1,4,2,1834,391,4,4,69.340492,:
79,5,1,14,1,4,3,1866,364,20,37,69.340492,$
81,5,1,14,1,5,1,134,402,85,31,91.657883,Mob.
82,5,1,14,1,5,2,261,428,4,4,90.216759,:
83,5,1,14,1,5,3,1405,438,64,31,19.108231,job
84,5,1,14,1,5,4,1485,438,107,31,29.745865,Nuc
85,5,1,14,1,5,5,2160,440,6,5,13.815552,-
87,5,1,14,1,6,1,131,463,82,30,92.357681,TRN
88,5,1,14,1,6,2,261,471,4,22,33.898613,=:
89,5,1,14,1,6,3,294,464,340,31,90.425125,100484921000003
90,5,1,14,1,6,4,1426,446,20,23,95.544769,ob
91,5,1,14,1,6,5,1514,446,136,23,95.544769,Numbers
92,5,1,14,1,6,6,1834,464,4,4,89.358475,:
93,5,1,14,1,6,7,1866,439,158,31,91.188332,Suneeta
94,5,1,14,1,6,8,2040,440,142,30,96.854012,Purohit
96,5,1,14,1,7,1,132,559,106,47,96.459152,Origin
97,5,1,14,1,7,2,330,571,4,22,89.518524,:
98,5,1,14,1,7,3,1289,563,141,38,95.965073,Shipper
100,5,1,14,1,8,1,134,624,122,31,50.939133,Destin.
101,5,1,14,1,8,2,330,632,4,22,50.939133,:
102,5,1,14,1,8,3,1289,624,136,39,91.557861,Consig.
104,5,1,14,1,9,1,132,685,141,31,83.805069,Comod.
105,5,1,14,1,9,2,330,693,4,22,83.805069,:
106,5,1,14,1,9,3,1291,685,159,39,96.215317,Payment
107,5,1,14,1,9,4,1463,685,117,31,93.272263,Terms
108,5,1,14,1,9,5,1603,693,4,22,93.043266,:
110,5,1,14,1,10,1,131,746,203,31,75.262794,AWB/BL:
111,5,1,14,1,10,2,1290,746,88,31,96.325439,Mode
