,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,"27,",-0.2296832884316727,-0.4939269916814906,0.09126640750620099,0
1,1,02-12-2022,-0.3211964122483491,3.048094306246009,0.0002467163104754033,1
2,2,01-01-2023,-0.3122697062873298,3.083898649978669,0.008679989650543896,0
3,3,"and 24 4 Hongasandra,",-0.5183026500712083,3.1038979804273463,0.19735295413333465,0
4,4,"and 24 4 Hongasandra,",0.1338735448649941,3.1000609960210137,0.4548232408028678,0
5,5,"| 29,200.00 9%",0.0629482633461209,-0.4939269916814906,0.3838979592839946,0
6,6,"9% 5,256.00 1.00",0.1058675203520604,-0.4939269916814906,0.4268172162899341,0
7,7,"1.00 3,750.00",-0.0109210974023552,-0.4939269916814906,0.3100285985355185,0
8,8,"3,750.00 9%",0.0888833605791651,-0.4939269916814906,0.40983305651703883,0
9,9,30 Days 4),-0.4031377023217908,-0.4939234512685561,0.0821880063839171,0
10,10,No,-0.2593754246494943,-0.4939269916814906,0.06157427128837939,0
11,11,"9% 5,256.00",0.4582198788094332,-0.4939269916814906,0.7791695747473069,0
12,12,"3,750.00 Sub",0.5356119949725171,-0.4939269916814906,0.8565616909103908,0
13,13,9%,0.1694294651749354,-0.4939269916814906,0.4903791611128091,0
14,14,9%,0.4060148792835864,-0.4939269916814906,0.7269645752214602,0
15,15,02-12-2022 16:07:14,0.3498470903522347,-0.4939253871347123,0.6707967862901084,0
