,text,CandidatePosition,NeighbourInformation
0,"20,",-0.5682964072337895,-0.4939269916814903
1,2ND,-0.3039016703959061,-0.4939269916814903
2,4700,-0.47749230779586554,-0.4939269916814903
3,4799,-0.3925722907730814,-0.4939269916814903
4,4148,-0.17660613868705594,-0.4939269916814903
5,2470,-0.12661419423458645,-0.4939269916814903
6,To,-0.6538819704112273,-0.4939269916814903
7,Details,-0.56188562491777,-0.4939269916814903
8,1.000 1.0000,0.14830836190439145,-0.4939269916814903
9,2250.00 996531,0.5104052554785835,-0.4939269916814903
10,1500.00,-0.0552287397078002,-0.4939269916814903
11,1.0000 12500.00,0.270334849515406,-0.4939269916814903
12,1500.00,0.34363015784013545,-0.4939269916814903
13,/ 3,-0.504544623523003,-0.4939269916814903
14,12500.00 2250.00,0.39229957181373776,-0.4939269916814903
15,/ 4,-0.49386252443413164,-0.4939269916814903
16,3500.00,-0.03408503827810922,-0.4939269916814903
17,1.000 1.0000,0.15623230563070062,-0.4939269916814903
18,3500.00,0.3644873781124433,-0.4939269916814903
19,/ 5,-0.48485667100587215,-0.4939269916814903
20,1.000,0.09260242008167059,-0.4939269916814903
21,1.0000 1500.00,0.2782048020141305,-0.4939269916814903
22,2250.00,0.45636543092343884,-0.4939269916814903
23,3652.74,0.39631320356377925,-0.4939269916814903
24,@ 18% 1826.37,-0.3349092856830812,-0.4939269916814903
25,1826.37,-0.1315887327587958,-0.4939269916814903
26,3652.74 Total,-0.1563396467924362,-0.4939269916814903
27,1826.37,-0.26919884024846574,-0.4939269916814903
28,1826.37,-0.12801922716347125,-0.4939269916814903
29,"3652.74, Total",0.16955714173162165,-0.4939269916814903
30,996759,0.5873232125516311,-0.4939269916814903
31,14:59:24 +05'30' ALL,0.12162679934225984,-0.4939269916814903
