,text,CandidatePosition,NeighbourInformation
0,"Block,",-0.0646147718862615,-0.4939269916814903
1,2563,-0.07260962618484024,-0.4939269916814903
2,5220,-0.02860174271549358,-0.4939269916814903
3,2563,0.11727874324749496,-0.4939269916814903
4,5323,0.161644767255505,-0.4939269916814903
5,19-12-2022,-0.3775854622505021,3.04898906334065
6,7-Dec-22,0.4000966564834001,3.052145522386614
7,Vehicle,-0.022706567766354102,0.2711287746972066
8,9840007413,-0.30375650315899877,3.0486681757340905
9,Invoice,-0.5537470947156387,-0.4939269916814903
10,"24,",-0.18371514944740017,-0.4511942783229894
11,"|14% |11,651.92 |14",0.376163291782158,-0.4939269916814903
12,|14 %,0.4492335225540315,-0.4939269916814903
13,Y4-5,-0.4446379482752004,-0.4939269916814903
14,"11,651.92 11,651.92",0.5024496950608395,-0.4939269916814903
15,"11,651.92 IRN",0.08786203745665414,-0.4939269916814903
16,19-Dec-22,-0.293299905335101,2.285765432955266
17,"14% 11,651.92 14%",0.2788703613813405,2.2805293429692264
18,"14% 11,651.92 |",0.44656102461999914,2.2789104646063176
19,"| 23,303.84 Total",0.3060563231550537,2.2803382168517503
20,"11,651.92 139,303:84",0.4491230380288739,-0.4939269916814903
21,4 3],0.6972997153536886,0.2726550157878607
