,text,CandidatePosition,NeighbourInformation
0,"Makali,",-0.5289600362438406,-0.4939269916814903
1,"29,",-0.17545037677278819,-0.4939269916814903
2,"29,",0.26628183780686043,-0.4939269916814903
3,2229004949,-0.5478235097645964,-0.4939269916814903
4,Veh,-0.2280382242106586,0.27073616270017725
5,Place,-0.6505086959553211,-0.4939269916814903
6,"93,450.00",-0.0629876623217637,-0.4939269916814903
7,"8,410.50 8,410.50",0.5646446362588327,-0.4939269916814903
8,"8,410.50 COMPRESSOR",0.09756524858383833,-0.4939269916814903
9,sold,-0.3945682564627523,-0.4939269916814903
