,text,CandidatePosition,NeighbourInformation
0,2,-0.5203820973044997,-0.4939269916814903
1,"GFO001,Sri",0.05928017636266798,-0.4939269916814903
2,to,0.5316223199202725,-0.4939269916814903
3,Invoice,0.14542704922692323,0.28768712514045713
4,Description,-0.4170598520905831,-0.4753568965697419
5,3329.52],0.10983636976804255,-0.4752551674707985
6,| 2.5% |,0.33439919781749644,0.28837103267868236
7,| CGST| %8.24 |,0.4619540645519005,0.28798714598817715
8,"02/04/2023,",0.2212184304741786,2.2852678026906537
9,09:54:33,0.10390960414998399,2.2864218349962453
10,"02/04/2023,",0.23040124159793157,2.2852699545049324
11,09:54:29,0.11304856494284646,2.2864218347824927
12,to,0.5833099203919613,-0.4939269916814903
13,Nn,-0.30728578536857915,-0.4939269916814903
