,text,CandidatePosition,NeighbourInformation
0,1-Mar-23,0.29422703542745776,3.0486557524923117
1,"3,010.64 Apple",0.03514312380893453,-0.47530067290460937
2,"2,867.28;",0.25379174403503924,-0.4752546463136826
3,"6,021.29 Apple",0.0493490087189146,-0.4939269916814903
4,DIGITECH,-0.6447159056579579,-0.4939269916814903
5,"9,031.93 Apple",0.06355489362889469,-0.4939269916814903
6,5%,0.3955251374370017,-0.4939269916814903
7,"5,341.96 IPHONE",0.0782277852442941,-0.4939269916814903
8,"1,114.56 22,291.26",0.6226542781657098,-0.4939269916814903
9,"22,291.26 UAE",0.1264462073020801,-0.4939269916814903
10,to,-0.17356368436508213,0.30562044005491334
11,to,0.04496905114258372,0.3055886732498248
12,Comod.,-0.6170528683692644,-0.4939269916814903
