,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,$22/15,0.2882880936776832,0.2702856819108229,0.04648152418890711,0
1,1,04/11/2022,0.334868578913756,0.2695851490465669,9.896104716566878e-05,1
2,2,18 | 1498.00,0.4302379406955293,-0.4939269916814906,0.09546832282893897,0
3,3,|9.00 |,0.167926766602083,-0.4939269916814906,0.16684285126450732,0
4,4,| 9.00) 114.33,0.3468069239572949,-0.4939269916814906,0.01203730609070458,0
5,5,5.0 |,0.4037459842890338,-0.4939269916814906,0.06897636642244348,0
6,6,| 1270.34 [9.00],0.1156733814124605,-0.4939269916814906,0.21909623645412982,0
7,7,[9.00] 114.38,0.2113312552959805,-0.4939269916814906,0.1234383625706098,0
8,8,[9.00| 114.38,0.3602099546518567,-0.4939269916814906,0.02544033678526636,0
9,9,[9.00] 68.57,0.2134928467046227,-0.4939269916814906,0.12127677116196761,0
10,10,|9.00] 68.57,0.3600425783253823,-0.4939269916814906,0.02527296045879196,0
11,11,5.00,-0.0974435258772471,-0.4939269916814906,0.4322131437438374,0
12,12,0.00,-0.0043703981673103,-0.4939269916814906,0.3391400160339006,0
13,13,5636.90,0.5125659862478738,-0.4939269916814906,0.17779636838128343,0
14,14,0.00,0.0160276419056273,-0.4939269916814906,0.31874197596096304,0
15,15,0.00,0.5415705902071599,-0.4939260778412874,0.2068009723405696,0
16,16,j 5636.90,0.1831962319710345,-0.4939251806195163,0.15157338589555583,0
