,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,$22,-0.6413362403095186,-0.4939269916814906,0.011378244969731388,0
1,1,04/11/2022,-0.6310703953723814,0.2693864495001133,0.001112400032594163,1
2,2,1499,-0.5115855608156837,0.269756199260261,0.11837243452410351,0
3,3,9.00 1499.00,-0.3630991788502284,0.2703478771557269,0.26685881648955884,0
4,4,1499.00 MENS,-0.5035322404854191,-0.4939269916814906,0.12642575485436813,0
5,5,1499,-0.5014123142027301,-0.4939269916814906,0.1285456811370571,0
6,6,9.00 1499.00,-0.3529259322372748,-0.4939269916814906,0.27703206310251244,0
7,7,1499.00 MENS,-0.4933589938724655,-0.4939269916814906,0.13659900146732173,0
8,8,8901326000311,-0.605999982161116,-0.4939269916814906,0.0239580131786713,0
9,9,2.50 240.90,-0.3449700715868157,-0.4939269916814906,0.28498792375297155,0
10,10,1499 9.00,-0.4544571894268882,-0.4939269916814906,0.17550080591289907,0
11,11,9.00 1499.00,-0.3325794390113676,-0.4939269916814906,0.29737855632841964,0
12,12,1499.00 5,-0.4699359614312804,-0.4939269916814906,0.16002203390850683,0
13,13,5 201250239,-0.6076811157432445,-0.4939269916814906,0.022276879596542787,0
14,14,9.00 899.00,-0.324668615000761,-0.4939269916814906,0.30528938033902625,0
15,15,4807.90,-0.3061723500339556,-0.4939269916814906,0.32378564530583165,0
16,16,5636.90,-0.2703217093518214,0.2702701005354985,0.3596362859879658,0
17,17,5636.90,-0.2519346263940006,-0.4939269916814906,0.37802336894578664,0
