,Unnamed: 0,text,CandidatePosition,NeighbourInformation,Similarity,Output
0,0,To |,-0.7199900918855672,-0.4939269916814906,0.8341444233572959,0
1,1,2023,0.1768332078605713,3.0484464660067614,0.06267887638884259,1
2,2,2023) PT.,-0.1240504615742119,-0.4939269916814906,0.2382047930459406,0
3,3,Wo.906,-0.5166864187827532,-0.4939269916814906,0.6308407502544819,0
4,4,+6221,-0.5762505125490527,-0.4939269916814906,0.6904048440207814,0
5,5,8282,-0.0840788114414983,-0.4939269916814906,0.19823314291322702,0
6,6,SO,0.0449565243242353,2.2862534808307786,0.0691978071474934,0
7,7,27 Jan 2022,0.4993206708834802,2.285642074836598,0.3851663394117515,0
8,8,"56-03,",-0.2160212845142876,-0.4939269916814906,0.3301756159860163,0
9,9,"56-04,",-0.1397088550218658,-0.4939269916814906,0.2538631864935945,0
10,10,56-05 |,-0.0570727862608254,-0.4939269916814906,0.1712271177325541,0
11,11,11% 2.760.890,0.6935944852232234,-0.4939269916814906,0.5794401537514947,0
