,Unnamed: 0,left,top,width,height,conf,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,invoice date,invoice dt,due date,payment date,ack date,ack dt,bill dt,receipt date,receipt dt,invoice date x,invoice dt x,due date x,payment date x,ack date x,ack dt x,bill dt x,receipt date x,receipt dt x,invoice date y,invoice dt y,due date y,payment date y,ack date y,ack dt y,bill dt y,receipt date y,receipt dt y,imageName,output
0,72,1713,256,203,28,96.087402,21-07-2022,1916,284,3504,2479,0,0,0,0,1,1,0,0,0,0,0,0,0,1244,1244,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,1,1
1,73,1713,256,203,28,96.087402,21-07-2022 ,1916,284,3504,2479,0,0,0,0,1,1,0,0,0,0,0,0,0,1244,1244,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,1,1
2,206,1648,1936,214,31,79.921706,1-oct-22. to 31 ,1862,1967,3504,2479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,2,0
3,204,1648,1936,136,31,48.239994,1-oct-22.,1784,1967,3504,2479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,0,2,0
4,203,376,486,163,35,95.528168,22-sep-22,539,521,3504,2479,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,266,266,0,0,0,0,0,0,0,517,517,0,0,0,2,1
5,205,376,486,163,35,95.528168,22-sep-22 ,539,521,3504,2479,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,266,266,0,0,0,0,0,0,0,517,517,0,0,0,2,1
6,51,2100,779,172,37,86.337227,1-mar-23,2272,816,3300,2550,0,0,0,0,1,1,0,0,0,0,0,0,0,1880,1880,0,0,0,0,0,0,0,808,808,0,0,0,0,0,0,0,3,1
7,52,2098,901,192,35,88.9786,27-feb-23,2290,936,3300,2550,0,0,0,0,1,1,0,0,0,0,0,0,0,1880,1880,0,0,0,0,0,0,0,808,808,0,0,0,0,0,0,0,3,0
8,53,2100,779,172,37,86.337227,1-mar-23 ,2272,816,3300,2550,0,0,0,0,1,1,0,0,0,0,0,0,0,1880,1880,0,0,0,0,0,0,0,808,808,0,0,0,0,0,0,0,3,1
9,54,2098,901,192,35,88.9786,27-feb-23 ,2290,936,3300,2550,0,0,0,0,1,1,0,0,0,0,0,0,0,1880,1880,0,0,0,0,0,0,0,808,808,0,0,0,0,0,0,0,3,0
10,50,1486,607,271,33,67.167625,28-sep-2022,1757,640,3508,2481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1388,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,5,1
11,93,1654,810,236,28,92.880798,31st jan-2023 ,1890,838,3300,2550,0,0,0,0,0,1,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,0,838,0,0,0,0,0,0,0,6,1
12,63,2038,522,104,21,91.146561,01.01.23,2142,543,3500,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1830,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,7,1
13,64,2038,608,100,26,84.009232,01.12.22,2138,634,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
14,70,2002,1034,105,21,79.565109,16-01-23 ,2107,1055,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
15,68,2038,522,104,21,91.146561,01.01.23 ,2142,543,3500,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1830,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,7,1
16,66,2002,1034,105,21,79.565109,16-01-23,2107,1055,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
17,67,2000,396,170,27,91.63328766666666,16 jan 2023 ,2170,423,3500,2479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1830,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,7,0
18,71,1768,1197,150,17,95.66247725,before 16 jan 2023 ,1918,1214,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
19,65,2175,613,101,21,93.308136,31.12.22,2276,634,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
20,69,2038,608,224,26,90.81919366666666,01.12.22 to 31.12.22 ,2262,634,3500,2479,0,0,0,0,1,1,1,0,0,0,0,0,0,1844,1844,1830,0,0,0,0,0,0,588,588,422,0,0,0,0,0,0,7,0
21,179,156,1309,150,26,96.207504,09/12/2022,306,1335,3300,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
22,185,1846,959,306,26,91.93979633333332,11/12/2022 12:00:00 pm ,2152,985,3300,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
23,186,156,1219,154,29,89.334175,09/12/2022. ,310,1248,3300,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
24,184,1826,908,323,32,94.17568375,: 09/12/2022 06:16:29 pm ,2149,940,3300,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
