,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,x,y,PageHeight,PageWidth,isTop,isBottom,isRight,isLeft,date,dated,invoice,delivery,order,due,payment,tax,bill,receipt,issue,imageName,output
0,7,9,2,3,300,1105,155,23,96.191299,02.04.2023,455,1128,2339,1654,0,0,0,0,1.54139629612975,2,1.49486918971952,2,1.15175332527217,2,2,1.52883664626946,2,2,2,20.jpeg,0
1,7,9,3,4,1379,1146,155,23,95.732468,02.04.2023,1534,1169,2339,1654,0,0,0,0,1.11124546553819,2,1.15779927448619,2,1.81431227897475,2,2,1.13172113725111,2,2,2,20.jpeg,1
2,20,1,2,7,873,1833,106,18,69.672714,"02/04/2023,",979,1851,2339,1654,0,0,0,0,1.12135811316944,2,1.18453811627713,2,2,2,1.16241271818272,1.42115191894529,2,2,2,20.jpeg,0
3,26,1,1,4,873,1904,106,18,96.788101,"02/04/2023,",979,1922,2339,1654,0,0,0,0,1.11668995269743,2,1.15921512711585,2,2,2,1.13262253356492,2,2,2,2,20.jpeg,0
4,9,1,1,3,588,897,88,29,71.175232,"9/10/2022,",676,926,2339,1654,0,0,0,0,2,2,2,2,2,2,1.14876188385484,2,2,2,2,23.jpeg,0
5,9,1,1,4,745,898,92,28,64.239807,"16-10-2022,",837,926,2339,1654,0,0,0,0,2,2,2,2,2,2,1.13957721757877,2,2,2,2,23.jpeg,0
6,9,3,1,3,588,1037,84,19,94.234421,9/10/2022,672,1056,2339,1654,0,0,0,0,2,2,2,2,2,2,1.11251158851451,2,2,2,2,23.jpeg,0
7,9,3,1,4,745,1031,88,32,84.635925,16-10-2022,833,1063,2339,1654,0,0,0,0,2,2,2,2,2,2,1.18321156765182,2,2,2,2,23.jpeg,0
8,4,1,2,3,84,320,113,19,70.813957,04/14/2022,197,339,2200,1700,0,0,0,0,2,2,1.1134119629142,2,2,2,2,1.15125613619634,1.19412213745229,2,2,18.jpeg,1
9,9,1,6,2,1216,328,127,22,73.269348,15/04/2022,1343,350,2200,1700,0,0,0,0,1.15152814516883,2,1.17166816933496,2,2,2,1.41168149842828,2,2,1.25285971288819,2,39.jpeg,1
10,15,1,1,1,153,894,124,20,88.94471,15/04/2022,277,914,2200,1700,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,39.jpeg,0
11,15,1,1,3,300,894,124,26,96.541641,17/04/2022,424,920,2200,1700,0,0,0,0,2,2,1.16988848864188,2,2,2,2,2,2,2,2,39.jpeg,0
12,11,2,1,6,1336,357,121,19,94.085846,05/12/2022,1457,376,2200,1700,0,0,0,0,2,1.14667131921667,1.24717415917542,1.2411182995998,2,2,2,2,1.75786518871861,2,2,4.jpeg,1
13,12,1,1,4,1213,896,123,26,87.991821,05/12/2022,1336,922,2200,1700,0,0,0,0,2,2,2,2,2,1.13352941176472,1.16413338284877,2,2,2,2,4.jpeg,0
14,6,1,3,7,426,763,121,19,90.490372,05/12/2022,547,782,2334,1684,0,0,0,0,2,2,2,1.27193637267272,2,2,2,2,2,2,2,5.jpeg,0
15,9,1,1,6,1399,360,106,16,86.915596,21-08-2022,1505,376,2339,1653,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,9.jpeg,1
16,5,1,1,1,1316,86,129,18,91.724434,16-Dec-22,1445,104,2200,1700,0,0,0,0,2,1.17649362522752,1.21115455917817,1.17114134468793,1.1795912524735,2,1.18347429145335,2,2,2,2,25.jpeg,1
17,22,1,1,4,1432,1030,160,34,96.723282,29/01/2023,1592,1064,3312,2342,0,0,0,0,1.18128235547589,2,2,2,2,2,2,2,2,2,2,7.jpeg,1
18,8,1,2,8,1008,497,160,28,79.647125,31:12.2022.,1168,525,2337,1653,0,0,0,0,1.18511846187441,2,1.56472813545124,2,2,2,2,2,2,2,2,1.jpeg,1
19,4,1,4,1,254,480,97,22,81.494781,02-01-2023,351,502,2338,1654,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,33.jpeg,1
20,5,1,2,9,1011,404,165,20,92.399582,28-SEP-2022.,1176,424,2339,1654,0,0,0,0,2,2,1.15356771516445,2,2,2,2,2,2,2,2,38.jpeg,1
21,3,1,2,9,1022,344,101,23,82.26268,30-03-2014,1123,367,2200,1700,0,0,0,0,2,1.16235294117647,1.48266158296168,2,2,2,2,2,2,2,2,11.jpeg,0
22,10,6,1,6,1244,576,165,22,94.45269,07-06-2022,1409,598,2337,1653,0,0,0,0,2,2,2,2,2,2,2,2,2,1.18151636197513,2,43.jpeg,1
23,4,1,1,5,740,424,124,21,96.701378,14/06/2021,864,445,1654,2339,0,0,0,0,2,2,1.29713552811342,2,2,2,2,2,2,2,2,47.jpeg,1
24,4,1,1,13,2043,422,124,21,96.766182,14/06/2021,2167,443,1654,2339,0,0,0,0,2,2,1.85421215721993,2,2,2,2,2,2,2,2,47.jpeg,0
25,14,1,2,6,770,1120,126,24,80.797455,16/06/2021.,896,1144,1654,2339,0,0,0,0,2,2,1.13815494263553,2,2,2,2,1.21182288151217,2,2,2,47.jpeg,0
26,19,1,1,1,70,1574,123,22,96.221169,15/09/2022,193,1596,1654,2339,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,47.jpeg,0
27,2,1,2,3,197,328,127,17,63.957451,21-Mar-2023,324,345,2339,1653,0,0,0,0,1.19679371841895,2,2,2,2,2,2,2,2,2,2,53.jpeg,1
28,11,2,1,4,444,452,115,17,51.541267,01-01-2023,559,469,2339,1654,0,0,0,0,1.24788428646469,2,1.26419535868814,2,1.13354315475857,1.28113696353344,2,2,2,2,2,8.jpeg,0
29,26,1,3,2,1046,1388,113,18,96.671463,02-12-2022,1159,1406,2339,1654,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,8.jpeg,1
30,26,1,3,3,1167,1388,84,18,95.308067,16:07:14,1251,1406,2339,1654,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,8.jpeg,0
31,26,1,3,3,1291,149,134,22,96.425758,04/11/2022,1425,171,2200,1700,0,0,0,0,2,2,2,2,2,2,2,2,1.13296161212421,2,2,40.jpeg,1
32,5,1,2,10,812,793,134,23,85.419106,14-01-2020,946,816,2339,1654,0,0,0,0,1.18158896456561,2,2,2,2,2,2,2,2,2,2,49.jpeg,0
33,5,2,2,1,212,267,127,20,96.105949,27/12/2022,339,287,2339,1653,0,0,0,0,2,2,1.14211748811395,2,2,2,2,1.18213724158156,2,2,2,42.jpeg,1
34,7,1,2,1,212,561,127,20,93.058998,27/12/2022,339,581,2339,1653,0,0,0,0,2,2,1.19966396732615,2,2,2,1.18851481852825,2,2,2,2,42.jpeg,0
35,7,1,2,3,363,561,127,20,96.851837,28/12/2022,490,581,2339,1653,0,0,0,0,2,2,1.15356681369591,2,2,2,1.11243197182177,2,2,2,2,42.jpeg,0
36,1,4,1,5,199,299,133,23,47.387981,01-Apr-2023,332,322,2339,1653,0,0,0,0,1.19439817276335,2,2,2,2,2,2,2,1.11514144282778,2,1.12645485116632,44.jpeg,1
