,conf,text,x,y,imageName,class
0,75.3819904137931,"ie /, FIESTA VACATIONS PVT LTD Wf #18 Old No.109 Hari Brindhavan 30th Cross, 4th Block Jayanagar, i NG) 041, Phone No:+91- 080 4900 i} Figgte Dacalions Website: WWW.FIESTAVACATIONS.CO.IN ",0.4035643564356436,0.1557142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg,sellerDetails
3,79.4974342,Buyer (Bill to) i MRS.DHANALAKSHMI ,0.1988118811881188,0.3645714285714285,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg,buyerDetails
4,70.3645915,to) MRS.DHANALAKSHMI ,0.3302970297029703,0.3937142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg,buyerDetails
7,89.47367115789474,      ‘Amount Chargeable (in words) ‘Indian Rupees Seven Lakh Sixteen HSN/SAC 00440063 Tax Amount (in words) Indian Rupees Thirty ,0.4083168316831683,1.4482857142857142,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg,amount
8,75.80504866666666,"Central Tax Amount Rate 16,235.83] 2.50%| ",1.3184158415841585,1.441142857142857,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/20.jpeg,amount
13,89.50502830769231,TALLY SOLUTIONS PVT 23 &amp; 24 AMR TECH HONGASANDRA MAIN GSTN-29AAACP7879D1Z0 State: 29-Karnataka ,0.1968627450980392,0.3866666666666666,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/23.jpeg,sellerDetails
30,81.29548780645159,"Perfumes Cosmetics (L.L.C) Tel. +971 4 2266962 2266033 Fax: +971 2254675 P.O. Box 8773 Deira Dubai U.A.E. E-mail: sadialle@eim.ae Behind Sima Hotct Fikhree Market, Deira TRN: 100253332900003 (eeu) depth St INVOICE ",0.7992156862745098,0.3107183580387685,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/106.jpeg,sellerDetails
35,95.75677875,"10 11,00 Output Vat ",1.2109803921568627,0.7822120866590649,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/106.jpeg,amount
37,92.9510295,CION LIGHTING TECHNOLOGIES FZC TRN: 100549453700003 ,0.3996078431372549,0.1651515151515151,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/55.jpeg,sellerDetails
48,92.737343,200.000 ,1.0937254901960785,0.7327272727272728,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/55.jpeg,amount
56,88.80039106666668,"Appitsimple Infotek Private Limited Block D, 3rd Floor,Signature-IISarkhej Sanand Cross RoadSarkhej Ahmedabad, Gujarat 382210 IN ",0.3996078431372549,0.1651515151515151,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/28.jpeg,sellerDetails
72,80.74156448571428,"hls .__ 4-4-15, NEAR ROTERY COMMUNITY CENTER, MK/IN/22-23/2009 UY VIKAS NAGAR, BUNDI (RAJ.) -323001 [Delivery Note Enterprises  GSTIN/UIN: @BACCPG2240C12D State Name Rajasthan, Code 08 Reference No. Date. Other E-Mail mkenterprises_bnd@gmail.com 2009 dt. 5-Dec-22 Buyer (Bill to) Buyers Order No. Gated TALLY SOLUTIONS PRIVATE LIMITED 23 24, AMR TECH PARK II, HONGASANDRA, HOSUR Dispatch Doc No. ‘Delivery MAIN ROAD, BANGLORE 560068 GSTIN/UIN + 29AAACP7879D1Z0 Dispatched through State Name Karnataka, Code 29 ",0.7992156862745098,0.3110730593607306,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/101.jpeg,buyerDetails
77,95.35188981818182,Total (in words) Seven Thousand Seven Hundred Forty Five and Thirty ,0.6776470588235294,1.2248858447488584,/home/aman/Documents/Tally/Git-Document-AI/Document-AI/Data/Images/101.jpeg,amount
